Participant_ID,Cluster_Assignment
MIBD67,2
TIBD99,3
TIBD101,0
TIBD102,3
TIBD103,2
TIBD104,1
TIBD106,3
TIBD112,3
TIBD113,3
TIBD118,2
MIBD09,0
MIBD24,1
MIBD30,2
MIBD33,3
MIBD35,3
MIBD36,3
MIBD37,0
MIBD40,0
MIBD45,2
MIBD46,3
MIBD47,0
MIBD50,3
MIBD54,2
MIBD63,2
TIBD03,0
TIBD06,0
TIBD07,1
TIBD11,0
TIBD12,2
TIBD13,3
TIBD16,0
TIBD19,1
TIBD20,0
TIBD27,1
TIBD28,0
TIBD29,3
TIBD30,1
TIBD31,1
TIBD33,0
TIBD35,0
TIBD37,1
TIBD42,2
TIBD43,0
TIBD44,0
TIBD45,0
TIBD46,0
TIBD48,0
TIBD49,3
TIBD50,1
TIBD51,0
TIBD52,1
TIBD53,0
TIBD54,0
TIBD55,1
TIBD56,2
TIBD57,2
TIBD59,0
TIBD60,2
TIBD63,3
TIBD65,0
TIBD66,2
TIBD67,1
TIBD68,1
TIBD69,3
TIBD70,2
TIBD71,1
TIBD72,3
TIBD73,0
TIBD74,2
TIBD79,1
TIBD80,0
TIBD81,3
TIBD84,3
TIBD86,0
TIBD91,3
TIBD92,3
